message,intent,district,priority
BREAKING: Water levels in Kelani River (Colombo) have reached 9.5 meters. Critical flood warning issued.,Info,Colombo,High
SOS: 5 people trapped on a roof in Ja-Ela (Gampaha). Water rising fast. Need boat immediately.,Rescue,Gampaha,High
Update: Kandy road cleared near Peradeniya. Traffic moving slowly. No victims reported.,Info,Kandy,Low
Does anyone have extra dry rations for the camp in Gampaha?,Supply,Gampaha,Low
News just in: Kelani river water level is at 7ft.,Info,Colombo,High
My uncle is stuck in the tree (immediate danger).,Rescue,None,High
Just saw on news that Gampaha town is flooded. Hope everyone is safe.,Info,Gampaha,High
We are trapped in the attic. 3 kids. Water is entering.,Rescue,None,High
Donation drive happening at the town hall tomorrow.,Supply,None,Low
Report: Heavy rains expected to continue for the next 24 hours.,Info,None,High
URGENT: Landslide in Badulla. 2 houses buried. Need rescue team.,Rescue,Badulla,High
Can someone recharge my phone? 077-1234567.,Other,None,Low
The Navy has deployed 5 boats to the Kelaniya area.,Info,Kelaniya,Low
Help! My grandmother is bedridden and the water is knee deep. Location: Kolonnawa.,Rescue,Kolonnawa,High
Is the highway open? I need to get to the airport.,Info,None,Low
Gampaha hospital is requesting drinking water for patients.,Supply,Gampaha,High
SOS: 10 people stranded on a rock in Kitulgala. Water rising rapidly.,Rescue,Kitulgala,High
Just arrived at the shelter. It's crowded but safe.,Info,None,Low
Warning: Dengue risk is high due to stagnant water.,Info,None,High
Please share this post to help the victims.,Supply,None,Low
My dog is missing in Kaduwela. Has anyone seen him?,Rescue,Kaduwela,High
The government has allocated 50 million rupees for relief.,Info,None,Low
We need milk powder for 10 babies at the temple camp.,Supply,None,High
Colombo Fort station is dry. Trains are running on schedule.,Info,Colombo,Low
Emergency: Tree fell on a house in Wattala. 2 injured.,Rescue,Wattala,High
Matara Polhena beach is rough. Do not swim.,Info,Matara,High
Kalutara bridge is at risk of collapse. Police have closed it.,Info,Kalutara,High
Rescue needed: Pregnant woman in labor at Ja-Ela. Cannot reach hospital.,Rescue,Ja-Ela,High
Galle fort area is safe. Tourists are fine.,Info,Galle,Low
River overflow in Ratnapura. Level 5.0m. Warning issued.,Info,Ratnapura,High
Wellampitiya is 100% underwater. 5000 people displaced.,Rescue,Wellampitiya,High
Just arrived in Galle. Weather is nice.,Info,Galle,Low
Donation needed: 500 packets of rice and curry for lunch.,Supply,None,High
The rain has stopped in Nuwara Eliya.,Info,Nuwara Eliya,Low
SOS: Boat capsized in Gampaha. 3 people in the water.,Rescue,Gampaha,High
I lost my ID card in the flood. What should I do?,Other,None,Low
Update: Electricity restored in some parts of Colombo.,Info,Colombo,Low
We are safe at the school. Thank you for asking.,Other,None,Low
Critical: Landslide warning issued for Kegalle district.,Info,Kegalle,High
Need volunteers to pack food parcels at the community center.,Supply,None,Low
Water is entering the ground floor of the Gampaha hospital.,Info,Gampaha,High
My car was washed away in the flood.,Other,None,Low
Please pray for Sri Lanka.,Other,None,Low
Helicopter rescue needed for a group of hikers in Knuckles.,Rescue,Knuckles,High
The water level in the Kandy lake is rising.,Info,Kandy,High
Road block at the entrance to the highway. Avoid the area.,Info,None,High
We need blankets and clothes for the children.,Supply,None,High
SOS: Snake inside the house. We are on the table.,Rescue,None,High
The army is distributing food in the affected areas.,Supply,None,Low
Is there any news about the missing fishermen?,Info,None,Low
